zipCode,prem2018,prem2022,premChange,premPctChange,lossRatio,claimFreq,claimSev,nonRenew,nonPay
28628,820.31,972.96,152.65,18.61,0.1,0.03,3208,0.01,0
27320,1022.94,1069.96,47.02,4.6,0.68,0.08,9710,0.01,0
28075,1457.09,1543.54,86.45,5.93,0.45,0.06,12231,0.03,0
27214,1189.24,1297.11,107.87,9.07,0.65,0.08,11271,0.02,0
27604,1211.14,1376.12,164.98,13.62,0.48,0.07,10711,0.03,0
27101,1124.84,1271.21,146.37,13.01,0.4,0.06,9693,0.02,0
27858,1723.73,1812.03,88.3,5.12,0.31,0.05,13020,0.02,0
28584,913.49,1010.69,97.2,10.64,0.7,0.06,18815,0.01,0
27530,1597.45,1618.23,20.78,1.3,0.44,0.07,12618,0.02,0
28555,904.42,943.08,38.66,4.28,0.64,0.09,8425,0.02,0
27851,1131.9,1247.85,115.94,10.24,0.53,0.06,14678,0.02,0
27104,1486.59,1640.27,153.68,10.34,0.37,0.05,12766,0.01,0
27896,1307.01,1397.43,90.41,6.92,0.63,0.08,11682,0.01,0
27707,1410.53,1601.99,191.46,13.57,0.36,0.05,11305,0.02,0
28303,1671.93,1831.24,159.31,9.53,0.48,0.09,13209,0.03,0
27703,1150.14,1275.73,125.6,10.92,0.47,0.06,10420,0.02,0
27884,1699,1761.98,62.98,3.71,0.61,0.06,21846,0.02,0
27852,1304.09,1457.41,153.33,11.76,0.56,0.05,17507,0.01,0
28805,1162.34,1289.97,127.63,10.98,0.31,0.04,11397,0.01,0
27524,1220.94,1319.37,98.43,8.06,0.53,0.06,13468,0.02,0
27712,1342.71,1517.63,174.93,13.03,0.55,0.07,12976,0.01,0
28209,1522.32,1732.94,210.61,13.84,0.64,0.05,23838,0.02,0
28384,1500.41,1635.79,135.37,9.02,0.54,0.09,12786,0.03,0
28277,1793.46,1924.83,131.36,7.32,0.53,0.06,18717,0.02,0
27023,1330.84,1440.32,109.48,8.23,0.49,0.05,14541,0.02,0
28613,939.15,1030.57,91.41,9.73,0.62,0.06,11394,0.02,0
27401,1049.2,1157.18,107.98,10.29,1.08,0.09,12577,0.02,0
27501,1335.58,1439.02,103.44,7.75,0.62,0.08,12786,0.02,0
27504,1240.67,1299.74,59.07,4.76,0.56,0.07,12007,0.02,0
27046,1158.6,1061.68,-96.92,-8.37,0.3,0.04,9718,0.01,0
27546,1458.16,1619.28,161.12,11.05,0.54,0.08,12847,0.02,0
27332,1444.1,1594.26,150.16,10.4,0.49,0.07,12444,0.02,0
28080,1258.28,1315.05,56.76,4.51,0.41,0.05,12540,0.01,0
27526,1326.74,1429.56,102.83,7.75,0.7,0.08,13876,0.02,0
